frame,x,y
0,221,421
1,221,422
2,220,425
3,219,426
4,220,428
5,219,431
6,220,431
7,220,434
8,220,434
9,220,436
10,219,437
11,220,438
12,219,437
13,219,438
14,218,438
15,219,437
16,218,437
17,218,437
18,217,437
19,217,437
20,217,437
21,216,437
22,215,438
23,214,438
24,213,438
25,212,438
26,211,438
27,211,439
28,210,439
29,209,439
30,209,439
31,209,439
32,208,439
33,207,440
34,207,440
35,206,440
36,205,440
37,205,440
38,204,440
39,203,441
40,202,441
41,201,441
42,200,441
43,200,442
44,200,442
45,199,442
46,198,442
47,198,442
48,198,442
49,197,443
50,198,443
51,198,443
52,197,443
53,197,443
54,195,444
55,194,445
56,193,445
57,193,445
58,192,446
59,191,446
60,191,446
61,190,446
62,190,447
63,189,447
64,189,446
65,189,447
66,188,447
67,188,447
68,188,447
69,187,448
70,187,448
71,187,448
72,186,448
73,186,448
74,186,448
75,186,448
76,185,448
77,185,448
78,184,448
79,184,449
80,183,449
81,183,449
82,182,449
83,181,449
84,181,449
85,180,449
86,180,449
87,180,449
88,180,449
89,179,449
90,179,450
91,179,450
92,178,450
93,177,450
94,177,450
95,176,450
96,176,450
97,175,449
98,174,449
99,174,450
100,174,450
101,174,449
102,174,449
103,176,449
104,175,449
105,175,449
106,175,449
107,174,449
108,174,449
109,173,450
110,173,450
111,172,450
112,172,450
113,172,450
114,172,450
115,172,451
116,172,451
117,172,451
118,172,451
119,172,451
