frame,x,y
0,217,423
1,218,424
2,217,427
3,216,429
4,217,430
5,215,433
6,216,434
7,216,437
8,216,437
9,217,439
10,215,440
11,216,441
12,215,441
13,216,441
14,215,441
15,215,441
16,214,440
17,215,441
18,214,440
19,214,440
20,213,440
21,213,440
22,212,441
23,211,441
24,210,441
25,208,442
26,208,442
27,207,442
28,206,442
29,205,442
30,205,443
31,204,443
32,204,443
33,203,443
34,202,444
35,202,444
36,201,444
37,200,444
38,200,444
39,199,445
40,198,445
41,198,445
42,197,445
43,196,446
44,196,445
45,196,446
46,195,445
47,195,446
48,195,446
49,194,446
50,194,446
51,193,447
52,193,447
53,192,447
54,192,447
55,191,447
56,191,448
57,190,449
58,189,449
59,189,449
60,188,449
61,187,450
62,186,450
63,186,450
64,186,450
65,185,450
66,185,450
67,185,450
68,185,450
69,184,450
70,184,451
71,184,451
72,184,451
73,183,451
74,183,451
75,183,451
76,182,451
77,182,451
78,182,451
79,181,451
80,181,451
81,180,451
82,180,451
83,179,451
84,179,452
85,178,452
86,177,452
87,177,452
88,177,451
89,177,452
90,176,452
91,176,452
92,176,452
93,175,452
94,174,452
95,174,452
96,174,451
97,172,451
98,172,451
99,172,451
100,172,451
101,171,451
102,171,452
103,171,451
104,171,451
105,171,451
106,171,451
107,171,451
108,170,451
109,170,452
110,170,452
111,170,452
112,169,452
113,169,452
114,169,452
115,169,453
116,169,452
117,168,453
118,168,453
119,168,454
