frame,x,y
0,217,424
1,217,425
2,216,427
3,215,429
4,216,431
5,215,434
6,216,435
7,216,437
8,215,437
9,216,440
10,215,440
11,215,442
12,214,441
13,215,442
14,214,441
15,215,441
16,214,441
17,214,441
18,213,441
19,213,441
20,213,440
21,212,441
22,211,441
23,210,441
24,209,441
25,208,442
26,207,442
27,206,443
28,206,442
29,205,443
30,204,444
31,204,443
32,203,444
33,202,444
34,202,444
35,201,444
36,200,445
37,199,445
38,199,445
39,198,445
40,197,445
41,197,446
42,196,446
43,195,446
44,195,446
45,195,446
46,195,446
47,194,446
48,194,446
49,194,447
50,193,447
51,193,447
52,192,447
53,192,447
54,191,448
55,191,448
56,190,448
57,189,449
58,189,449
59,188,449
60,187,450
61,186,450
62,186,450
63,185,450
64,185,450
65,184,451
66,184,450
67,184,451
68,184,451
69,184,451
70,184,451
71,184,451
72,183,451
73,183,451
74,183,451
75,182,451
76,182,451
77,182,451
78,181,451
79,181,451
80,181,451
81,180,451
82,179,451
83,179,452
84,178,452
85,177,452
86,177,452
87,177,452
88,177,452
89,176,452
90,176,452
91,175,452
92,175,452
93,174,453
94,174,453
95,173,452
96,173,452
97,172,452
98,172,451
99,171,452
100,171,452
101,171,452
102,170,452
103,170,452
104,170,452
105,170,451
106,170,451
107,170,452
108,170,452
109,169,452
110,169,452
111,169,452
112,169,452
113,168,453
114,168,453
115,168,453
116,168,453
117,168,453
118,168,453
119,168,454
