frame,x,y
0,218,423
1,218,424
2,217,426
3,216,428
4,217,430
5,216,433
6,217,434
7,217,436
8,216,436
9,217,439
10,216,439
11,217,440
12,216,440
13,217,441
14,216,440
15,216,440
16,216,439
17,215,440
18,215,439
19,215,439
20,214,439
21,214,439
22,213,440
23,212,440
24,210,441
25,209,441
26,209,441
27,208,441
28,207,441
29,207,441
30,206,442
31,206,442
32,205,442
33,204,443
34,203,443
35,203,443
36,202,443
37,201,443
38,201,444
39,200,444
40,199,444
41,199,444
42,198,444
43,197,445
44,197,445
45,197,445
46,196,445
47,196,445
48,196,445
49,195,445
50,195,446
51,194,446
52,194,446
53,193,446
54,193,447
55,192,447
56,191,447
57,191,448
58,190,448
59,189,448
60,189,449
61,188,449
62,187,449
63,187,449
64,187,449
65,186,450
66,186,449
67,186,450
68,186,449
69,185,450
70,185,450
71,185,450
72,185,450
73,184,450
74,184,450
75,184,450
76,184,450
77,183,450
78,183,450
79,182,450
80,182,450
81,181,450
82,181,450
83,180,451
84,180,451
85,179,451
86,179,451
87,178,451
88,178,451
89,177,451
90,178,451
91,177,451
92,177,451
93,176,451
94,175,451
95,175,451
96,174,451
97,174,451
98,173,450
99,172,451
100,173,451
101,172,451
102,172,451
103,172,450
104,172,451
105,172,450
106,172,450
107,172,451
108,171,451
109,171,451
110,171,451
111,170,451
112,170,451
113,170,452
114,170,452
115,169,452
116,170,452
117,169,452
118,169,453
119,169,453
