frame,x,y
0,219,422
1,218,424
2,218,426
3,217,428
4,218,430
5,216,433
6,217,433
7,218,436
8,217,436
9,218,438
10,217,439
11,218,440
12,216,440
13,217,440
14,216,439
15,217,439
16,216,439
17,216,439
18,215,439
19,215,439
20,215,439
21,214,439
22,213,439
23,213,439
24,211,440
25,210,440
26,209,441
27,209,441
28,208,441
29,207,441
30,206,441
31,206,441
32,206,441
33,205,442
34,204,442
35,203,442
36,203,443
37,202,443
38,202,443
39,200,443
40,200,444
41,199,444
42,198,444
43,198,444
44,198,444
45,198,444
46,197,444
47,197,444
48,197,444
49,196,445
50,195,445
51,195,445
52,195,445
53,194,446
54,193,446
55,192,447
56,192,447
57,191,447
58,191,447
59,190,448
60,189,448
61,188,449
62,188,449
63,187,449
64,187,449
65,186,449
66,186,449
67,186,449
68,186,449
69,185,450
70,185,450
71,185,450
72,185,450
73,185,450
74,184,450
75,184,450
76,184,450
77,184,450
78,183,450
79,182,450
80,182,450
81,182,450
82,182,450
83,180,450
84,180,451
85,179,451
86,179,451
87,179,451
88,179,451
89,178,451
90,178,451
91,177,451
92,177,451
93,176,451
94,176,451
95,175,451
96,175,451
97,174,450
98,173,450
99,173,450
100,173,451
101,173,450
102,173,450
103,172,450
104,172,450
105,173,450
106,172,450
107,172,450
108,172,451
109,171,451
110,171,451
111,171,451
112,171,451
113,170,452
114,170,452
115,170,452
116,170,452
117,170,452
118,170,452
119,170,453
