username, Total frames,processing duration(s), os, jv -v
jalid,11477,227,Windows 11 10.0,24.0.1
username, Total frames,processing duration(s), os, jv -v
liban,120,1,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,120,1,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,120,1,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,11477,107,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,11477,106,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,120,1,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,120,1,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,120,1,Windows 11 10.0,23
username, Total frames,processing duration(s), os, jv -v
liban,120,1,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 00:04:01,liban,120,1.226,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 00:18:00,liban,120,1.247,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 00:19:50,liban,120,1.235,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 00:20:40,liban,120,1.189,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 00:53:23,liban,120,1.202,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 00:56:33,liban,120,1.19,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 11:28:40,liban,120,3.868,Windows 11 10.0,21.0.1
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 11:37:50,liban,120,5.506,Windows 11 10.0,21.0.1
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 11:39:20,liban,120,4.917,Windows 11 10.0,21.0.1
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 11:57:27,liban,120,5.49,Windows 11 10.0,21.0.1
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 12:17:28,liban,11477,543.513,Windows 11 10.0,21.0.1
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 12:43:35,liban,120,5.257,Windows 11 10.0,21.0.1
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 12:43:40,liban,120,6.976,Windows 11 10.0,21.0.1
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 12:43:41,liban,120,6.768,Windows 11 10.0,21.0.1
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 12:43:43,liban,120,6.87,Windows 11 10.0,21.0.1
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 12:43:44,liban,120,5.345,Windows 11 10.0,21.0.1
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 12:43:44,liban,120,5.85,Windows 11 10.0,21.0.1
timestamp,username,Total frames,processing duration(s),os,java version
2025-05-29 12:43:46,liban,120,7.659,Windows 11 10.0,21.0.1
timestamp,username,Total frames,processing duration(s),os,java version
2025-06-10 14:57:04,liban,120,1.214,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-06-10 14:57:54,liban,120,1.194,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-06-10 14:58:00,liban,120,1.19,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-06-10 15:18:23,liban,120,1.178,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-06-10 15:18:37,liban,120,1.173,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-06-10 17:32:55,liban,120,5.669,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-06-10 22:38:33,liban,120,1.155,Windows 11 10.0,23
timestamp,username,Total frames,processing duration(s),os,java version
2025-06-10 22:56:50,liban,120,1.157,Windows 11 10.0,23
